forecast_date,origin_port,destination_port,vessel_class,transit_days,avg_speed_knots
2023-01-18,TANJUNG_BARA,PARADIP,Supramax,7.0,12.5
2023-01-19,MAPUTO,VISAKHAPATNAM,Panamax,14.5,12.5
2023-01-19,TANJUNG_BARA,DHAMRA,Supramax,7.5,12.5
2023-01-19,BALIKPAPAN,KAMARAJAR,Supramax,6.7,12.5
2023-01-19,RICHARDS_BAY,PARADIP,Capesize,15.3,12.5
2023-01-19,TANJUNG_BARA,PARADIP,Supramax,8.2,12.5
2023-01-19,NEWCASTLE,DHAMRA,Panamax,16.6,12.5
2023-01-19,HAY_POINT,DHAMRA,Capesize,14.3,12.5
2023-01-19,GLADSTONE,PARADIP,Panamax,14.1,12.5
2023-01-19,HAY_POINT,PARADIP,Capesize,14.6,12.5
2023-01-19,HAY_POINT,VISAKHAPATNAM,Capesize,13.7,12.5
2023-01-20,GLADSTONE,PARADIP,Panamax,15.3,12.5
2023-01-20,MAPUTO,VISAKHAPATNAM,Panamax,14.4,12.5
2023-01-20,TANJUNG_BARA,DHAMRA,Supramax,8.8,12.5
2023-01-20,RICHARDS_BAY,PARADIP,Capesize,15.1,12.5
2023-01-20,HAY_POINT,DHAMRA,Capesize,14.8,12.5
2023-01-20,NEWCASTLE,DHAMRA,Panamax,15.8,12.5
2023-01-20,BALIKPAPAN,KAMARAJAR,Supramax,7.5,12.5
2023-01-20,HAY_POINT,VISAKHAPATNAM,Capesize,13.8,12.5
2023-01-20,TANJUNG_BARA,PARADIP,Supramax,8.2,12.5
2023-01-20,HAY_POINT,PARADIP,Capesize,14.4,12.5
2023-01-21,GLADSTONE,PARADIP,Panamax,15.7,12.5
2023-01-21,TANJUNG_BARA,DHAMRA,Supramax,7.7,12.5
2023-01-21,RICHARDS_BAY,PARADIP,Capesize,15.8,12.5
2023-01-21,NEWCASTLE,DHAMRA,Panamax,16.2,12.5
2023-01-21,MAPUTO,VISAKHAPATNAM,Panamax,14.2,12.5
2023-01-21,HAY_POINT,DHAMRA,Capesize,14.8,12.5
2023-01-21,HAY_POINT,PARADIP,Capesize,14.2,12.5
2023-01-21,TANJUNG_BARA,PARADIP,Supramax,7.8,12.5
2023-01-21,HAY_POINT,VISAKHAPATNAM,Capesize,13.6,12.5
2023-01-21,BALIKPAPAN,KAMARAJAR,Supramax,6.5,12.5
2023-01-22,HAY_POINT,PARADIP,Capesize,14.0,12.5
2023-01-22,TANJUNG_BARA,DHAMRA,Supramax,7.9,12.5
2023-01-22,RICHARDS_BAY,PARADIP,Capesize,14.8,12.5
2023-01-22,HAY_POINT,DHAMRA,Capesize,13.6,12.5
2023-01-22,BALIKPAPAN,KAMARAJAR,Supramax,6.9,12.5
2023-01-22,GLADSTONE,PARADIP,Panamax,15.4,12.5
2023-01-22,MAPUTO,VISAKHAPATNAM,Panamax,14.2,12.5
2023-01-22,TANJUNG_BARA,PARADIP,Supramax,8.3,12.5
2023-01-22,HAY_POINT,VISAKHAPATNAM,Capesize,13.6,12.5
2023-01-22,NEWCASTLE,DHAMRA,Panamax,15.6,12.5
2023-01-23,HAY_POINT,VISAKHAPATNAM,Capesize,13.2,12.5
2023-01-23,TANJUNG_BARA,DHAMRA,Supramax,7.4,12.5
2023-01-23,NEWCASTLE,DHAMRA,Panamax,16.8,12.5
2023-01-23,BALIKPAPAN,KAMARAJAR,Supramax,7.9,12.5
2023-01-23,HAY_POINT,PARADIP,Capesize,14.5,12.5
2023-01-23,RICHARDS_BAY,PARADIP,Capesize,15.1,12.5
2023-01-23,TANJUNG_BARA,PARADIP,Supramax,8.3,12.5
2023-01-23,HAY_POINT,DHAMRA,Capesize,14.2,12.5
2023-01-23,GLADSTONE,PARADIP,Panamax,15.6,12.5
2023-01-23,MAPUTO,VISAKHAPATNAM,Panamax,13.9,12.5
2023-01-24,BALIKPAPAN,KAMARAJAR,Supramax,7.9,12.5
2023-01-24,HAY_POINT,DHAMRA,Capesize,14.4,12.5
2023-01-24,TANJUNG_BARA,DHAMRA,Supramax,6.3,12.5
2023-01-24,NEWCASTLE,DHAMRA,Panamax,16.0,12.5
2023-01-24,RICHARDS_BAY,PARADIP,Capesize,14.6,12.5
2023-01-24,HAY_POINT,PARADIP,Capesize,14.2,12.5
2023-01-24,GLADSTONE,PARADIP,Panamax,16.4,12.5
2023-01-24,HAY_POINT,VISAKHAPATNAM,Capesize,13.2,12.5
2023-01-24,TANJUNG_BARA,PARADIP,Supramax,8.0,12.5
2023-01-24,MAPUTO,VISAKHAPATNAM,Panamax,14.0,12.5
2023-01-25,HAY_POINT,PARADIP,Capesize,14.6,12.5
2023-01-25,RICHARDS_BAY,PARADIP,Capesize,14.5,12.5
2023-01-25,GLADSTONE,PARADIP,Panamax,14.5,12.5
2023-01-25,MAPUTO,VISAKHAPATNAM,Panamax,14.6,12.5
2023-01-25,TANJUNG_BARA,DHAMRA,Supramax,7.5,12.5
2023-01-25,HAY_POINT,VISAKHAPATNAM,Capesize,13.2,12.5
2023-01-25,HAY_POINT,DHAMRA,Capesize,14.7,12.5
2023-01-25,NEWCASTLE,DHAMRA,Panamax,16.6,12.5
2023-01-25,TANJUNG_BARA,PARADIP,Supramax,8.0,12.5
2023-01-25,BALIKPAPAN,KAMARAJAR,Supramax,8.2,12.5
2023-01-26,MAPUTO,VISAKHAPATNAM,Panamax,16.5,12.5
2023-01-26,HAY_POINT,DHAMRA,Capesize,14.6,12.5
2023-01-26,BALIKPAPAN,KAMARAJAR,Supramax,7.6,12.5
2023-01-26,NEWCASTLE,DHAMRA,Panamax,16.4,12.5
2023-01-26,HAY_POINT,PARADIP,Capesize,14.3,12.5
2023-01-26,GLADSTONE,PARADIP,Panamax,14.6,12.5
2023-01-26,HAY_POINT,VISAKHAPATNAM,Capesize,13.1,12.5
2023-01-26,TANJUNG_BARA,DHAMRA,Supramax,8.3,12.5
2023-01-26,TANJUNG_BARA,PARADIP,Supramax,7.9,12.5
2023-01-26,RICHARDS_BAY,PARADIP,Capesize,16.1,12.5
2023-01-27,GLADSTONE,PARADIP,Panamax,16.0,12.5
2023-01-27,TANJUNG_BARA,DHAMRA,Supramax,6.9,12.5
2023-01-27,HAY_POINT,DHAMRA,Capesize,13.8,12.5
2023-01-27,HAY_POINT,PARADIP,Capesize,14.8,12.5
2023-01-27,HAY_POINT,VISAKHAPATNAM,Capesize,12.8,12.5
2023-01-27,RICHARDS_BAY,PARADIP,Capesize,15.1,12.5
2023-01-27,MAPUTO,VISAKHAPATNAM,Panamax,14.6,12.5
2023-01-27,TANJUNG_BARA,PARADIP,Supramax,8.2,12.5
2023-01-27,NEWCASTLE,DHAMRA,Panamax,16.1,12.5
2023-01-27,BALIKPAPAN,KAMARAJAR,Supramax,7.3,12.5
2023-01-28,HAY_POINT,DHAMRA,Capesize,14.8,12.5
2023-01-28,HAY_POINT,PARADIP,Capesize,13.5,12.5
2023-01-28,HAY_POINT,VISAKHAPATNAM,Capesize,14.3,12.5
2023-01-28,MAPUTO,VISAKHAPATNAM,Panamax,15.1,12.5
2023-01-28,GLADSTONE,PARADIP,Panamax,16.6,12.5
2023-01-28,RICHARDS_BAY,PARADIP,Capesize,16.2,12.5
2023-01-28,NEWCASTLE,DHAMRA,Panamax,15.3,12.5
2023-01-28,TANJUNG_BARA,PARADIP,Supramax,8.7,12.5
2023-01-28,TANJUNG_BARA,DHAMRA,Supramax,7.7,12.5
2023-01-28,BALIKPAPAN,KAMARAJAR,Supramax,6.5,12.5
2023-01-29,MAPUTO,VISAKHAPATNAM,Panamax,14.6,12.5
2023-01-29,HAY_POINT,VISAKHAPATNAM,Capesize,13.5,12.5
2023-01-29,TANJUNG_BARA,PARADIP,Supramax,8.5,12.5
2023-01-29,NEWCASTLE,DHAMRA,Panamax,15.8,12.5
2023-01-29,HAY_POINT,DHAMRA,Capesize,13.2,12.5
2023-01-29,TANJUNG_BARA,DHAMRA,Supramax,7.4,12.5
2023-01-29,HAY_POINT,PARADIP,Capesize,13.9,12.5
2023-01-29,RICHARDS_BAY,PARADIP,Capesize,16.3,12.5
2023-01-29,BALIKPAPAN,KAMARAJAR,Supramax,7.8,12.5
2023-01-29,GLADSTONE,PARADIP,Panamax,15.7,12.5
2023-01-30,HAY_POINT,VISAKHAPATNAM,Capesize,13.5,12.5
2023-01-30,TANJUNG_BARA,DHAMRA,Supramax,7.7,12.5
2023-01-30,HAY_POINT,PARADIP,Capesize,15.2,12.5
2023-01-30,HAY_POINT,DHAMRA,Capesize,14.7,12.5
2023-01-30,NEWCASTLE,DHAMRA,Panamax,16.5,12.5
2023-01-30,TANJUNG_BARA,PARADIP,Supramax,7.4,12.5
2023-01-30,MAPUTO,VISAKHAPATNAM,Panamax,15.2,12.5
2023-01-30,BALIKPAPAN,KAMARAJAR,Supramax,6.7,12.5
2023-01-30,RICHARDS_BAY,PARADIP,Capesize,14.8,12.5
2023-01-30,GLADSTONE,PARADIP,Panamax,14.1,12.5
2023-01-31,TANJUNG_BARA,DHAMRA,Supramax,7.8,12.5
2023-01-31,HAY_POINT,VISAKHAPATNAM,Capesize,14.8,12.5
2023-01-31,HAY_POINT,PARADIP,Capesize,14.2,12.5
2023-01-31,HAY_POINT,DHAMRA,Capesize,14.0,12.5
2023-01-31,MAPUTO,VISAKHAPATNAM,Panamax,14.3,12.5
2023-01-31,TANJUNG_BARA,PARADIP,Supramax,7.5,12.5
2023-01-31,RICHARDS_BAY,PARADIP,Capesize,15.2,12.5
2023-01-31,BALIKPAPAN,KAMARAJAR,Supramax,7.1,12.5
2023-01-31,NEWCASTLE,DHAMRA,Panamax,15.9,12.5
2023-01-31,GLADSTONE,PARADIP,Panamax,15.3,12.5
2023-02-01,HAY_POINT,PARADIP,Capesize,14.0,12.5
2023-02-01,TANJUNG_BARA,DHAMRA,Supramax,7.4,12.5
2023-02-01,RICHARDS_BAY,PARADIP,Capesize,14.4,12.5
2023-02-01,BALIKPAPAN,KAMARAJAR,Supramax,6.8,12.5
2023-02-01,TANJUNG_BARA,PARADIP,Supramax,7.6,12.5
2023-02-01,MAPUTO,VISAKHAPATNAM,Panamax,15.3,12.5
2023-02-01,HAY_POINT,VISAKHAPATNAM,Capesize,14.4,12.5
2023-02-01,HAY_POINT,DHAMRA,Capesize,14.2,12.5
2023-02-01,NEWCASTLE,DHAMRA,Panamax,16.1,12.5
2023-02-01,GLADSTONE,PARADIP,Panamax,14.2,12.5
2023-02-02,HAY_POINT,VISAKHAPATNAM,Capesize,13.1,12.5
2023-02-02,RICHARDS_BAY,PARADIP,Capesize,15.8,12.5
2023-02-02,BALIKPAPAN,KAMARAJAR,Supramax,7.6,12.5
2023-02-02,HAY_POINT,PARADIP,Capesize,13.9,12.5
2023-02-02,NEWCASTLE,DHAMRA,Panamax,15.1,12.5
2023-02-02,TANJUNG_BARA,PARADIP,Supramax,7.4,12.5
2023-02-02,MAPUTO,VISAKHAPATNAM,Panamax,15.7,12.5
2023-02-02,HAY_POINT,DHAMRA,Capesize,14.4,12.5
2023-02-02,GLADSTONE,PARADIP,Panamax,15.8,12.5
2023-02-02,TANJUNG_BARA,DHAMRA,Supramax,7.7,12.5
2023-02-03,GLADSTONE,PARADIP,Panamax,15.2,12.5
2023-02-03,BALIKPAPAN,KAMARAJAR,Supramax,8.0,12.5
2023-02-03,NEWCASTLE,DHAMRA,Panamax,16.3,12.5
2023-02-03,TANJUNG_BARA,PARADIP,Supramax,8.2,12.5
2023-02-03,HAY_POINT,VISAKHAPATNAM,Capesize,14.1,12.5
2023-02-03,MAPUTO,VISAKHAPATNAM,Panamax,14.1,12.5
2023-02-03,TANJUNG_BARA,DHAMRA,Supramax,8.9,12.5
2023-02-03,HAY_POINT,DHAMRA,Capesize,13.2,12.5
2023-02-03,RICHARDS_BAY,PARADIP,Capesize,15.7,12.5
2023-02-03,HAY_POINT,PARADIP,Capesize,12.1,12.5
2023-02-04,TANJUNG_BARA,DHAMRA,Supramax,8.5,12.5
2023-02-04,HAY_POINT,PARADIP,Capesize,15.1,12.5
2023-02-04,TANJUNG_BARA,PARADIP,Supramax,7.4,12.5
2023-02-04,RICHARDS_BAY,PARADIP,Capesize,14.9,12.5
2023-02-04,MAPUTO,VISAKHAPATNAM,Panamax,15.7,12.5
2023-02-04,NEWCASTLE,DHAMRA,Panamax,15.8,12.5
2023-02-04,HAY_POINT,VISAKHAPATNAM,Capesize,14.1,12.5
2023-02-04,BALIKPAPAN,KAMARAJAR,Supramax,8.2,12.5
2023-02-04,HAY_POINT,DHAMRA,Capesize,14.7,12.5
2023-02-04,GLADSTONE,PARADIP,Panamax,15.0,12.5
2023-02-05,RICHARDS_BAY,PARADIP,Capesize,16.6,12.5
2023-02-05,NEWCASTLE,DHAMRA,Panamax,15.9,12.5
2023-02-05,MAPUTO,VISAKHAPATNAM,Panamax,13.7,12.5
2023-02-05,TANJUNG_BARA,PARADIP,Supramax,7.5,12.5
2023-02-05,HAY_POINT,PARADIP,Capesize,15.0,12.5
2023-02-05,BALIKPAPAN,KAMARAJAR,Supramax,7.6,12.5
2023-02-05,HAY_POINT,DHAMRA,Capesize,14.8,12.5
2023-02-05,GLADSTONE,PARADIP,Panamax,13.8,12.5
2023-02-05,TANJUNG_BARA,DHAMRA,Supramax,7.4,12.5
2023-02-05,HAY_POINT,VISAKHAPATNAM,Capesize,13.6,12.5
2023-02-06,GLADSTONE,PARADIP,Panamax,14.6,12.5
2023-02-06,BALIKPAPAN,KAMARAJAR,Supramax,7.4,12.5
2023-02-06,HAY_POINT,VISAKHAPATNAM,Capesize,13.4,12.5
2023-02-06,HAY_POINT,PARADIP,Capesize,14.0,12.5
2023-02-06,NEWCASTLE,DHAMRA,Panamax,16.9,12.5
2023-02-06,RICHARDS_BAY,PARADIP,Capesize,14.6,12.5
2023-02-06,TANJUNG_BARA,PARADIP,Supramax,7.8,12.5
2023-02-06,TANJUNG_BARA,DHAMRA,Supramax,7.2,12.5
2023-02-06,MAPUTO,VISAKHAPATNAM,Panamax,14.9,12.5
2023-02-06,HAY_POINT,DHAMRA,Capesize,14.8,12.5
2023-02-07,BALIKPAPAN,KAMARAJAR,Supramax,7.1,12.5
2023-02-07,MAPUTO,VISAKHAPATNAM,Panamax,14.9,12.5
2023-02-07,GLADSTONE,PARADIP,Panamax,16.2,12.5
2023-02-07,HAY_POINT,DHAMRA,Capesize,15.8,12.5
2023-02-07,TANJUNG_BARA,PARADIP,Supramax,7.9,12.5
2023-02-07,HAY_POINT,PARADIP,Capesize,14.4,12.5
2023-02-07,HAY_POINT,VISAKHAPATNAM,Capesize,14.6,12.5
