forecast_date,origin_port,destination_port,cargo_type,bunker_vlsfo_usd_ton,coal_type,import_volume_tons
2023-01-06,HAY_POINT,PARADIP,Coking Coal,608.0,Coking Coal,70000.0
2023-01-06,GLADSTONE,PARADIP,Coking Coal,608.0,Coking Coal,70000.0
2023-01-06,HAY_POINT,VISAKHAPATNAM,Coking Coal,608.0,Coking Coal,70000.0
2023-01-06,BALIKPAPAN,KAMARAJAR,Thermal Coal,608.0,Thermal Coal,70000.0
2023-01-07,GLADSTONE,PARADIP,Coking Coal,602.4,Coking Coal,70000.0
2023-01-07,TANJUNG_BARA,DHAMRA,Thermal Coal,602.4,Thermal Coal,70000.0
2023-01-07,BALIKPAPAN,KAMARAJAR,Thermal Coal,602.4,Thermal Coal,70000.0
2023-01-07,RICHARDS_BAY,PARADIP,Thermal Coal,602.4,Thermal Coal,70000.0
2023-01-07,HAY_POINT,VISAKHAPATNAM,Coking Coal,602.4,Coking Coal,70000.0
2023-01-07,HAY_POINT,DHAMRA,Coking Coal,602.4,Coking Coal,70000.0
2023-01-07,TANJUNG_BARA,PARADIP,Thermal Coal,602.4,Thermal Coal,70000.0
2023-01-07,HAY_POINT,PARADIP,Coking Coal,602.4,Coking Coal,70000.0
2023-01-07,MAPUTO,VISAKHAPATNAM,Coking Coal,602.4,Coking Coal,70000.0
2023-01-07,NEWCASTLE,DHAMRA,Thermal Coal,602.4,Thermal Coal,70000.0
2023-01-08,MAPUTO,VISAKHAPATNAM,Coking Coal,602.6,Coking Coal,70000.0
2023-01-08,RICHARDS_BAY,PARADIP,Thermal Coal,602.6,Thermal Coal,70000.0
2023-01-08,HAY_POINT,VISAKHAPATNAM,Coking Coal,602.6,Coking Coal,70000.0
2023-01-08,TANJUNG_BARA,PARADIP,Thermal Coal,602.6,Thermal Coal,70000.0
2023-01-08,GLADSTONE,PARADIP,Coking Coal,602.6,Coking Coal,70000.0
2023-01-08,HAY_POINT,PARADIP,Coking Coal,602.6,Coking Coal,70000.0
2023-01-08,NEWCASTLE,DHAMRA,Thermal Coal,602.6,Thermal Coal,70000.0
2023-01-08,TANJUNG_BARA,DHAMRA,Thermal Coal,602.6,Thermal Coal,70000.0
2023-01-08,HAY_POINT,DHAMRA,Coking Coal,602.6,Coking Coal,70000.0
2023-01-08,BALIKPAPAN,KAMARAJAR,Thermal Coal,602.6,Thermal Coal,70000.0
2023-01-09,GLADSTONE,PARADIP,Coking Coal,603.1,Coking Coal,70000.0
2023-01-09,HAY_POINT,VISAKHAPATNAM,Coking Coal,603.1,Coking Coal,70000.0
2023-01-09,BALIKPAPAN,KAMARAJAR,Thermal Coal,603.1,Thermal Coal,70000.0
2023-01-09,NEWCASTLE,DHAMRA,Thermal Coal,603.1,Thermal Coal,70000.0
2023-01-09,TANJUNG_BARA,PARADIP,Thermal Coal,603.1,Thermal Coal,70000.0
2023-01-09,HAY_POINT,PARADIP,Coking Coal,603.1,Coking Coal,70000.0
2023-01-09,HAY_POINT,DHAMRA,Coking Coal,603.1,Coking Coal,70000.0
2023-01-09,MAPUTO,VISAKHAPATNAM,Coking Coal,603.1,Coking Coal,70000.0
2023-01-09,TANJUNG_BARA,DHAMRA,Thermal Coal,603.1,Thermal Coal,70000.0
2023-01-09,RICHARDS_BAY,PARADIP,Thermal Coal,603.1,Thermal Coal,70000.0
2023-01-10,NEWCASTLE,DHAMRA,Thermal Coal,600.7,Thermal Coal,70000.0
2023-01-10,HAY_POINT,VISAKHAPATNAM,Coking Coal,600.7,Coking Coal,70000.0
2023-01-10,BALIKPAPAN,KAMARAJAR,Thermal Coal,600.7,Thermal Coal,70000.0
2023-01-10,GLADSTONE,PARADIP,Coking Coal,600.7,Coking Coal,70000.0
2023-01-10,TANJUNG_BARA,PARADIP,Thermal Coal,600.7,Thermal Coal,70000.0
2023-01-10,HAY_POINT,PARADIP,Coking Coal,600.7,Coking Coal,70000.0
2023-01-10,HAY_POINT,DHAMRA,Coking Coal,600.7,Coking Coal,70000.0
2023-01-10,MAPUTO,VISAKHAPATNAM,Coking Coal,600.7,Coking Coal,70000.0
2023-01-10,TANJUNG_BARA,DHAMRA,Thermal Coal,600.7,Thermal Coal,70000.0
2023-01-10,RICHARDS_BAY,PARADIP,Thermal Coal,600.7,Thermal Coal,70000.0
2023-01-11,RICHARDS_BAY,PARADIP,Thermal Coal,608.1,Thermal Coal,70000.0
2023-01-11,MAPUTO,VISAKHAPATNAM,Coking Coal,608.1,Coking Coal,70000.0
2023-01-11,HAY_POINT,VISAKHAPATNAM,Coking Coal,608.1,Coking Coal,70000.0
2023-01-11,BALIKPAPAN,KAMARAJAR,Thermal Coal,608.1,Thermal Coal,70000.0
2023-01-11,GLADSTONE,PARADIP,Coking Coal,608.1,Coking Coal,70000.0
2023-01-11,NEWCASTLE,DHAMRA,Thermal Coal,608.1,Thermal Coal,70000.0
2023-01-11,TANJUNG_BARA,PARADIP,Thermal Coal,608.1,Thermal Coal,70000.0
2023-01-11,HAY_POINT,DHAMRA,Coking Coal,608.1,Coking Coal,70000.0
2023-01-11,TANJUNG_BARA,DHAMRA,Thermal Coal,608.1,Thermal Coal,70000.0
2023-01-11,HAY_POINT,PARADIP,Coking Coal,608.1,Coking Coal,70000.0
2023-01-12,BALIKPAPAN,KAMARAJAR,Thermal Coal,611.4,Thermal Coal,70000.0
2023-01-12,NEWCASTLE,DHAMRA,Thermal Coal,611.4,Thermal Coal,70000.0
2023-01-12,HAY_POINT,DHAMRA,Coking Coal,611.4,Coking Coal,70000.0
2023-01-12,TANJUNG_BARA,DHAMRA,Thermal Coal,611.4,Thermal Coal,70000.0
2023-01-12,MAPUTO,VISAKHAPATNAM,Coking Coal,611.4,Coking Coal,70000.0
2023-01-12,RICHARDS_BAY,PARADIP,Thermal Coal,611.4,Thermal Coal,70000.0
2023-01-12,TANJUNG_BARA,PARADIP,Thermal Coal,611.4,Thermal Coal,70000.0
2023-01-12,HAY_POINT,VISAKHAPATNAM,Coking Coal,611.4,Coking Coal,70000.0
2023-01-12,GLADSTONE,PARADIP,Coking Coal,611.4,Coking Coal,70000.0
2023-01-12,HAY_POINT,PARADIP,Coking Coal,611.4,Coking Coal,70000.0
2023-01-13,MAPUTO,VISAKHAPATNAM,Coking Coal,603.5,Coking Coal,70000.0
2023-01-13,TANJUNG_BARA,PARADIP,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-13,NEWCASTLE,DHAMRA,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-13,HAY_POINT,VISAKHAPATNAM,Coking Coal,603.5,Coking Coal,70000.0
2023-01-13,BALIKPAPAN,KAMARAJAR,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-13,HAY_POINT,DHAMRA,Coking Coal,603.5,Coking Coal,70000.0
2023-01-13,TANJUNG_BARA,DHAMRA,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-13,HAY_POINT,PARADIP,Coking Coal,603.5,Coking Coal,70000.0
2023-01-13,RICHARDS_BAY,PARADIP,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-13,GLADSTONE,PARADIP,Coking Coal,603.5,Coking Coal,70000.0
2023-01-14,RICHARDS_BAY,PARADIP,Thermal Coal,606.5,Thermal Coal,70000.0
2023-01-14,NEWCASTLE,DHAMRA,Thermal Coal,606.5,Thermal Coal,70000.0
2023-01-14,BALIKPAPAN,KAMARAJAR,Thermal Coal,606.5,Thermal Coal,70000.0
2023-01-14,HAY_POINT,DHAMRA,Coking Coal,606.5,Coking Coal,70000.0
2023-01-14,GLADSTONE,PARADIP,Coking Coal,606.5,Coking Coal,70000.0
2023-01-14,TANJUNG_BARA,DHAMRA,Thermal Coal,606.5,Thermal Coal,70000.0
2023-01-14,HAY_POINT,PARADIP,Coking Coal,606.5,Coking Coal,70000.0
2023-01-14,HAY_POINT,VISAKHAPATNAM,Coking Coal,606.5,Coking Coal,70000.0
2023-01-14,TANJUNG_BARA,PARADIP,Thermal Coal,606.5,Thermal Coal,70000.0
2023-01-14,MAPUTO,VISAKHAPATNAM,Coking Coal,606.5,Coking Coal,70000.0
2023-01-15,GLADSTONE,PARADIP,Coking Coal,605.3,Coking Coal,70000.0
2023-01-15,TANJUNG_BARA,DHAMRA,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-15,HAY_POINT,DHAMRA,Coking Coal,605.3,Coking Coal,70000.0
2023-01-15,HAY_POINT,PARADIP,Coking Coal,605.3,Coking Coal,70000.0
2023-01-15,RICHARDS_BAY,PARADIP,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-15,MAPUTO,VISAKHAPATNAM,Coking Coal,605.3,Coking Coal,70000.0
2023-01-15,BALIKPAPAN,KAMARAJAR,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-15,HAY_POINT,VISAKHAPATNAM,Coking Coal,605.3,Coking Coal,70000.0
2023-01-15,NEWCASTLE,DHAMRA,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-15,TANJUNG_BARA,PARADIP,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-16,MAPUTO,VISAKHAPATNAM,Coking Coal,603.5,Coking Coal,70000.0
2023-01-16,RICHARDS_BAY,PARADIP,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-16,TANJUNG_BARA,PARADIP,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-16,BALIKPAPAN,KAMARAJAR,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-16,HAY_POINT,PARADIP,Coking Coal,603.5,Coking Coal,70000.0
2023-01-16,TANJUNG_BARA,DHAMRA,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-16,GLADSTONE,PARADIP,Coking Coal,603.5,Coking Coal,70000.0
2023-01-16,HAY_POINT,VISAKHAPATNAM,Coking Coal,603.5,Coking Coal,70000.0
2023-01-16,HAY_POINT,DHAMRA,Coking Coal,603.5,Coking Coal,70000.0
2023-01-16,NEWCASTLE,DHAMRA,Thermal Coal,603.5,Thermal Coal,70000.0
2023-01-17,HAY_POINT,PARADIP,Coking Coal,596.4,Coking Coal,70000.0
2023-01-17,GLADSTONE,PARADIP,Coking Coal,596.4,Coking Coal,70000.0
2023-01-17,MAPUTO,VISAKHAPATNAM,Coking Coal,596.4,Coking Coal,70000.0
2023-01-17,HAY_POINT,VISAKHAPATNAM,Coking Coal,596.4,Coking Coal,70000.0
2023-01-17,HAY_POINT,DHAMRA,Coking Coal,596.4,Coking Coal,70000.0
2023-01-17,BALIKPAPAN,KAMARAJAR,Thermal Coal,596.4,Thermal Coal,70000.0
2023-01-17,TANJUNG_BARA,DHAMRA,Thermal Coal,596.4,Thermal Coal,70000.0
2023-01-17,RICHARDS_BAY,PARADIP,Thermal Coal,596.4,Thermal Coal,70000.0
2023-01-17,NEWCASTLE,DHAMRA,Thermal Coal,596.4,Thermal Coal,70000.0
2023-01-17,TANJUNG_BARA,PARADIP,Thermal Coal,596.4,Thermal Coal,70000.0
2023-01-18,HAY_POINT,DHAMRA,Coking Coal,593.7,Coking Coal,70000.0
2023-01-18,GLADSTONE,PARADIP,Coking Coal,593.7,Coking Coal,70000.0
2023-01-18,BALIKPAPAN,KAMARAJAR,Thermal Coal,593.7,Thermal Coal,70000.0
2023-01-18,RICHARDS_BAY,PARADIP,Thermal Coal,593.7,Thermal Coal,70000.0
2023-01-18,MAPUTO,VISAKHAPATNAM,Coking Coal,593.7,Coking Coal,70000.0
2023-01-18,NEWCASTLE,DHAMRA,Thermal Coal,593.7,Thermal Coal,70000.0
2023-01-18,TANJUNG_BARA,DHAMRA,Thermal Coal,593.7,Thermal Coal,70000.0
2023-01-18,HAY_POINT,VISAKHAPATNAM,Coking Coal,593.7,Coking Coal,70000.0
2023-01-18,HAY_POINT,PARADIP,Coking Coal,593.7,Coking Coal,70000.0
2023-01-18,TANJUNG_BARA,PARADIP,Thermal Coal,593.7,Thermal Coal,70000.0
2023-01-19,MAPUTO,VISAKHAPATNAM,Coking Coal,597.4,Coking Coal,70000.0
2023-01-19,TANJUNG_BARA,DHAMRA,Thermal Coal,597.4,Thermal Coal,70000.0
2023-01-19,BALIKPAPAN,KAMARAJAR,Thermal Coal,597.4,Thermal Coal,70000.0
2023-01-19,RICHARDS_BAY,PARADIP,Thermal Coal,597.4,Thermal Coal,70000.0
2023-01-19,TANJUNG_BARA,PARADIP,Thermal Coal,597.4,Thermal Coal,70000.0
2023-01-19,NEWCASTLE,DHAMRA,Thermal Coal,597.4,Thermal Coal,70000.0
2023-01-19,HAY_POINT,DHAMRA,Coking Coal,597.4,Coking Coal,70000.0
2023-01-19,GLADSTONE,PARADIP,Coking Coal,597.4,Coking Coal,70000.0
2023-01-19,HAY_POINT,PARADIP,Coking Coal,597.4,Coking Coal,70000.0
2023-01-19,HAY_POINT,VISAKHAPATNAM,Coking Coal,597.4,Coking Coal,70000.0
2023-01-20,GLADSTONE,PARADIP,Coking Coal,598.7,Coking Coal,70000.0
2023-01-20,MAPUTO,VISAKHAPATNAM,Coking Coal,598.7,Coking Coal,70000.0
2023-01-20,TANJUNG_BARA,DHAMRA,Thermal Coal,598.7,Thermal Coal,70000.0
2023-01-20,RICHARDS_BAY,PARADIP,Thermal Coal,598.7,Thermal Coal,70000.0
2023-01-20,HAY_POINT,DHAMRA,Coking Coal,598.7,Coking Coal,70000.0
2023-01-20,NEWCASTLE,DHAMRA,Thermal Coal,598.7,Thermal Coal,70000.0
2023-01-20,BALIKPAPAN,KAMARAJAR,Thermal Coal,598.7,Thermal Coal,70000.0
2023-01-20,HAY_POINT,VISAKHAPATNAM,Coking Coal,598.7,Coking Coal,70000.0
2023-01-20,TANJUNG_BARA,PARADIP,Thermal Coal,598.7,Thermal Coal,70000.0
2023-01-20,HAY_POINT,PARADIP,Coking Coal,598.7,Coking Coal,70000.0
2023-01-21,GLADSTONE,PARADIP,Coking Coal,598.0,Coking Coal,70000.0
2023-01-21,TANJUNG_BARA,DHAMRA,Thermal Coal,598.0,Thermal Coal,70000.0
2023-01-21,RICHARDS_BAY,PARADIP,Thermal Coal,598.0,Thermal Coal,70000.0
2023-01-21,NEWCASTLE,DHAMRA,Thermal Coal,598.0,Thermal Coal,70000.0
2023-01-21,MAPUTO,VISAKHAPATNAM,Coking Coal,598.0,Coking Coal,70000.0
2023-01-21,HAY_POINT,DHAMRA,Coking Coal,598.0,Coking Coal,70000.0
2023-01-21,HAY_POINT,PARADIP,Coking Coal,598.0,Coking Coal,70000.0
2023-01-21,TANJUNG_BARA,PARADIP,Thermal Coal,598.0,Thermal Coal,70000.0
2023-01-21,HAY_POINT,VISAKHAPATNAM,Coking Coal,598.0,Coking Coal,70000.0
2023-01-21,BALIKPAPAN,KAMARAJAR,Thermal Coal,598.0,Thermal Coal,70000.0
2023-01-22,HAY_POINT,PARADIP,Coking Coal,601.2,Coking Coal,70000.0
2023-01-22,TANJUNG_BARA,DHAMRA,Thermal Coal,601.2,Thermal Coal,70000.0
2023-01-22,RICHARDS_BAY,PARADIP,Thermal Coal,601.2,Thermal Coal,70000.0
2023-01-22,HAY_POINT,DHAMRA,Coking Coal,601.2,Coking Coal,70000.0
2023-01-22,BALIKPAPAN,KAMARAJAR,Thermal Coal,601.2,Thermal Coal,70000.0
2023-01-22,GLADSTONE,PARADIP,Coking Coal,601.2,Coking Coal,70000.0
2023-01-22,MAPUTO,VISAKHAPATNAM,Coking Coal,601.2,Coking Coal,70000.0
2023-01-22,TANJUNG_BARA,PARADIP,Thermal Coal,601.2,Thermal Coal,70000.0
2023-01-22,HAY_POINT,VISAKHAPATNAM,Coking Coal,601.2,Coking Coal,70000.0
2023-01-22,NEWCASTLE,DHAMRA,Thermal Coal,601.2,Thermal Coal,70000.0
2023-01-23,HAY_POINT,VISAKHAPATNAM,Coking Coal,605.3,Coking Coal,70000.0
2023-01-23,TANJUNG_BARA,DHAMRA,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-23,NEWCASTLE,DHAMRA,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-23,BALIKPAPAN,KAMARAJAR,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-23,HAY_POINT,PARADIP,Coking Coal,605.3,Coking Coal,70000.0
2023-01-23,RICHARDS_BAY,PARADIP,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-23,TANJUNG_BARA,PARADIP,Thermal Coal,605.3,Thermal Coal,70000.0
2023-01-23,HAY_POINT,DHAMRA,Coking Coal,605.3,Coking Coal,70000.0
2023-01-23,GLADSTONE,PARADIP,Coking Coal,605.3,Coking Coal,70000.0
2023-01-23,MAPUTO,VISAKHAPATNAM,Coking Coal,605.3,Coking Coal,70000.0
2023-01-24,BALIKPAPAN,KAMARAJAR,Thermal Coal,606.7,Thermal Coal,70000.0
2023-01-24,HAY_POINT,DHAMRA,Coking Coal,606.7,Coking Coal,70000.0
2023-01-24,TANJUNG_BARA,DHAMRA,Thermal Coal,606.7,Thermal Coal,70000.0
2023-01-24,NEWCASTLE,DHAMRA,Thermal Coal,606.7,Thermal Coal,70000.0
2023-01-24,RICHARDS_BAY,PARADIP,Thermal Coal,606.7,Thermal Coal,70000.0
2023-01-24,HAY_POINT,PARADIP,Coking Coal,606.7,Coking Coal,70000.0
2023-01-24,GLADSTONE,PARADIP,Coking Coal,606.7,Coking Coal,70000.0
2023-01-24,HAY_POINT,VISAKHAPATNAM,Coking Coal,606.7,Coking Coal,70000.0
2023-01-24,TANJUNG_BARA,PARADIP,Thermal Coal,606.7,Thermal Coal,70000.0
2023-01-24,MAPUTO,VISAKHAPATNAM,Coking Coal,606.7,Coking Coal,70000.0
2023-01-25,HAY_POINT,PARADIP,Coking Coal,613.0,Coking Coal,70000.0
2023-01-25,RICHARDS_BAY,PARADIP,Thermal Coal,613.0,Thermal Coal,70000.0
2023-01-25,GLADSTONE,PARADIP,Coking Coal,613.0,Coking Coal,70000.0
2023-01-25,MAPUTO,VISAKHAPATNAM,Coking Coal,613.0,Coking Coal,70000.0
2023-01-25,TANJUNG_BARA,DHAMRA,Thermal Coal,613.0,Thermal Coal,70000.0
2023-01-25,HAY_POINT,VISAKHAPATNAM,Coking Coal,613.0,Coking Coal,70000.0
2023-01-25,HAY_POINT,DHAMRA,Coking Coal,613.0,Coking Coal,70000.0
2023-01-25,NEWCASTLE,DHAMRA,Thermal Coal,613.0,Thermal Coal,70000.0
2023-01-25,TANJUNG_BARA,PARADIP,Thermal Coal,613.0,Thermal Coal,70000.0
2023-01-25,BALIKPAPAN,KAMARAJAR,Thermal Coal,613.0,Thermal Coal,70000.0
2023-01-26,MAPUTO,VISAKHAPATNAM,Coking Coal,613.3,Coking Coal,70000.0
2023-01-26,HAY_POINT,DHAMRA,Coking Coal,613.3,Coking Coal,70000.0
2023-01-26,BALIKPAPAN,KAMARAJAR,Thermal Coal,613.3,Thermal Coal,70000.0
2023-01-26,NEWCASTLE,DHAMRA,Thermal Coal,613.3,Thermal Coal,70000.0
2023-01-26,HAY_POINT,PARADIP,Coking Coal,613.3,Coking Coal,70000.0
2023-01-26,GLADSTONE,PARADIP,Coking Coal,613.3,Coking Coal,70000.0
2023-01-26,HAY_POINT,VISAKHAPATNAM,Coking Coal,613.3,Coking Coal,70000.0
2023-01-26,TANJUNG_BARA,DHAMRA,Thermal Coal,613.3,Thermal Coal,70000.0
2023-01-26,TANJUNG_BARA,PARADIP,Thermal Coal,613.3,Thermal Coal,70000.0
2023-01-26,RICHARDS_BAY,PARADIP,Thermal Coal,613.3,Thermal Coal,70000.0
2023-01-27,GLADSTONE,PARADIP,Coking Coal,605.4,Coking Coal,70000.0
2023-01-27,TANJUNG_BARA,DHAMRA,Thermal Coal,605.4,Thermal Coal,70000.0
2023-01-27,HAY_POINT,DHAMRA,Coking Coal,605.4,Coking Coal,70000.0
2023-01-27,HAY_POINT,PARADIP,Coking Coal,605.4,Coking Coal,70000.0
2023-01-27,HAY_POINT,VISAKHAPATNAM,Coking Coal,605.4,Coking Coal,70000.0
2023-01-27,RICHARDS_BAY,PARADIP,Thermal Coal,605.4,Thermal Coal,70000.0
2023-01-27,MAPUTO,VISAKHAPATNAM,Coking Coal,605.4,Coking Coal,70000.0
2023-01-27,TANJUNG_BARA,PARADIP,Thermal Coal,605.4,Thermal Coal,70000.0
2023-01-27,NEWCASTLE,DHAMRA,Thermal Coal,605.4,Thermal Coal,70000.0
2023-01-27,BALIKPAPAN,KAMARAJAR,Thermal Coal,605.4,Thermal Coal,70000.0
2023-01-28,HAY_POINT,DHAMRA,Coking Coal,611.3,Coking Coal,70000.0
2023-01-28,HAY_POINT,PARADIP,Coking Coal,611.3,Coking Coal,70000.0
2023-01-28,HAY_POINT,VISAKHAPATNAM,Coking Coal,611.3,Coking Coal,70000.0
2023-01-28,MAPUTO,VISAKHAPATNAM,Coking Coal,611.3,Coking Coal,70000.0
2023-01-28,GLADSTONE,PARADIP,Coking Coal,611.3,Coking Coal,70000.0
2023-01-28,RICHARDS_BAY,PARADIP,Thermal Coal,611.3,Thermal Coal,70000.0
2023-01-28,NEWCASTLE,DHAMRA,Thermal Coal,611.3,Thermal Coal,70000.0
2023-01-28,TANJUNG_BARA,PARADIP,Thermal Coal,611.3,Thermal Coal,70000.0
2023-01-28,TANJUNG_BARA,DHAMRA,Thermal Coal,611.3,Thermal Coal,70000.0
2023-01-28,BALIKPAPAN,KAMARAJAR,Thermal Coal,611.3,Thermal Coal,70000.0
2023-01-29,MAPUTO,VISAKHAPATNAM,Coking Coal,609.3,Coking Coal,70000.0
2023-01-29,HAY_POINT,VISAKHAPATNAM,Coking Coal,609.3,Coking Coal,70000.0
2023-01-29,TANJUNG_BARA,PARADIP,Thermal Coal,609.3,Thermal Coal,70000.0
2023-01-29,NEWCASTLE,DHAMRA,Thermal Coal,609.3,Thermal Coal,70000.0
2023-01-29,HAY_POINT,DHAMRA,Coking Coal,609.3,Coking Coal,70000.0
2023-01-29,TANJUNG_BARA,DHAMRA,Thermal Coal,609.3,Thermal Coal,70000.0
2023-01-29,HAY_POINT,PARADIP,Coking Coal,609.3,Coking Coal,70000.0
2023-01-29,RICHARDS_BAY,PARADIP,Thermal Coal,609.3,Thermal Coal,70000.0
2023-01-29,BALIKPAPAN,KAMARAJAR,Thermal Coal,609.3,Thermal Coal,70000.0
2023-01-29,GLADSTONE,PARADIP,Coking Coal,609.3,Coking Coal,70000.0
